Way Bill No,Waybill Date,Booking Branch,Collection At,Delivery at,,,Via location,Consigner Name,Consignee Name,,Pay Mode,Package Type,,Said to Contain,Invoice No,Value,No of PKGs,Actual Wt,Charge Wt.,Freight,Billing Party,Billing Location,TUR No,TUR Date,GDM No,LHS No,Remark,Special Remark
2753548,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RUDRA ENTERPRISES, NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000136,48935,5,68,73,881.87,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2753549,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SWAMI ENTERPRISES NSK,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000109,51320,7,97,102,1118.64,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2753550,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SWAMI ENTERPRISES NSK,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN00000159,33662,2,32,33,531.32,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2753551,21/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MALTI ENTERPRISES  THANE,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000175,130064,16,232,243,2404.13,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753552,21/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI      ,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE SWASTIK ENTERPRISES,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000170,88360,13,178,187,1872.72,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753553,21/04/2020,BHIWANDI,BHIWANDI      ,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,KRISHNA DISTRIBUTOR THANE,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000176,350174,63,863,911,8188.35,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753554,24/04/2020,BHIWANDI,BHIWANDI      ,BHANDUP,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD BHANDUP,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000219,30360,2,28,29,492.72,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753555,24/04/2020,BHIWANDI,BHIWANDI      ,BHANDUP,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD BHANDUP,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000220,3854,1,10,20,707.71,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753556,24/04/2020,BHIWANDI,BHIWANDI      ,BHANDUP,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD BHANDUP,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000221,5043,1,12,20,710.09,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753557,24/04/2020,BHIWANDI,BHIWANDI      ,BHANDUP,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD BHANDUP,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000217,26655,15,229,243,2197.31,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
